,custAge,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded_new,housing_new,loan_new,contact_new,marital_new,schooling_new,default_new,profession_new,month_new,day_of_week_new,poutcome_new
0,49.0,2,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.0,1.0,0.0,1.0,2,4,0.0,1,5,1,1
1,31.0,2,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,0.0,0.0,0.0,2,6,0.0,2,7,1,1
2,45.0,2,999,0,-1.8,93.075,-47.1,1.453,5099.1,999.0,0,0.0,0.0,0.0,0.0,3,7,0.0,3,4,1,1
3,44.0,1,999,0,1.1,93.994,-36.4,4.855,5191.0,999.0,0,0.0,0.0,0.0,1.0,2,2,0.0,4,5,1,1
4,38.0,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0.0,0.0,0.0,0.0,2,8,0.0,4,11,2,1
5,43.0,4,999,0,1.4,94.465,-41.8,4.865,5228.1,999.0,0,0.0,1.0,0.0,1.0,1,7,0.0,5,6,2,1
6,39.0,5,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,0.0,1.0,0.0,1.0,2,8,0.0,6,5,1,1
7,53.0,2,999,0,1.4,93.444,-36.1,4.966,5228.1,999.0,0,0.0,1.0,0.0,0.0,2,7,0.0,7,8,1,1
8,44.0,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0.0,0.0,0.0,0.0,2,8,0.0,3,4,2,1
9,33.0,2,999,1,-1.8,92.893,-46.2,1.344,5099.1,999.0,4,0.0,1.0,0.0,1.0,2,4,0.0,4,5,1,2
10,34.0,3,999,0,-2.9,92.201,-31.4,0.825,5076.2,999.0,0,0.0,1.0,0.0,0.0,2,7,0.0,5,8,1,1
11,75.0,2,999,1,-1.8,93.369,-34.8,0.639,5008.7,999.0,0,1.0,0.0,0.0,0.0,2,8,0.0,8,3,2,2
12,33.0,3,999,0,1.4,93.918,-42.7,4.96,5228.1,999.0,0,0.0,1.0,1.0,0.0,2,4,0.0,6,7,2,1
13,33.0,2,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.0,0.0,0.0,1.0,2,8,0.0,6,5,1,1
14,28.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,1.0,0.0,1.0,2,7,0.0,6,5,1,1
15,29.0,7,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,0.0,1.0,0.0,1.0,1,6,0.0,4,5,2,1
16,32.0,3,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,0.0,1.0,0.0,0.0,3,8,0.0,6,8,1,1
17,31.0,1,999,0,1.4,94.465,-41.8,4.967,5228.1,999.0,0,0.0,0.0,0.0,1.0,1,5,0.0,6,6,1,1
18,27.0,1,999,0,-3.4,92.379,-29.8,0.781,5017.5,999.0,0,1.0,0.0,0.0,0.0,1,8,0.0,6,9,1,1
19,35.0,1,999,0,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0,1.0,0.0,0.0,1,8,0.0,9,7,1,1
20,42.0,9,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,0.0,1.0,1.0,1.0,2,7,0.0,2,8,1,1
21,39.0,5,999,0,1.4,94.465,-41.8,4.865,5228.1,999.0,0,0.0,0.0,0.0,1.0,2,3,0.0,3,6,2,1
22,34.0,1,999,0,-1.8,92.893,-46.2,1.291,5099.1,999.0,0,0.0,1.0,0.0,0.0,1,7,0.0,1,5,1,1
23,58.0,4,999,0,1.4,93.444,-36.1,4.965,5228.1,999.0,0,0.0,0.0,0.0,0.0,2,2,0.0,8,8,1,1
24,44.0,1,999,1,-1.8,92.893,-46.2,1.25,5099.1,999.0,2,0.0,1.0,0.0,0.0,2,7,0.0,1,5,1,2
25,31.0,1,999,0,-2.9,92.963,-40.8,1.252,5076.2,999.0,0,0.0,0.0,0.0,0.0,1,7,0.0,6,6,1,1
26,60.0,1,999,0,1.4,93.444,-36.1,4.967,5228.1,999.0,0,0.0,1.0,0.0,0.0,2,2,0.0,4,8,1,1
27,31.0,1,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.0,1.0,0.0,1.0,2,8,0.0,10,5,1,1
28,31.0,2,999,0,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0,0.0,1.0,0.0,3,8,0.0,4,7,1,1
29,37.0,2,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.0,0.0,0.0,1.0,3,8,0.0,4,6,1,1
30,42.0,2,999,0,-1.8,92.893,-46.2,1.354,5099.1,999.0,0,0.0,1.0,1.0,0.0,2,6,0.0,6,5,1,1
31,31.0,2,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.0,1.0,0.0,1.0,1,8,0.0,6,5,1,1
32,31.0,4,999,0,1.4,93.918,-42.7,4.962,5228.1,999.0,0,0.0,0.0,0.0,0.0,2,5,0.0,9,7,2,1
33,33.0,1,999,0,1.4,94.465,-41.8,4.959,5228.1,999.0,0,0.0,1.0,0.0,1.0,1,7,0.0,6,6,1,1
34,57.0,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,1.0,0.0,0.0,0.0,3,8,0.0,3,4,1,1
35,51.0,2,999,0,1.1,93.994,-36.4,4.858,5191.0,999.0,0,0.0,1.0,1.0,1.0,2,8,0.0,4,5,1,1
36,31.0,1,999,0,-1.8,93.075,-47.1,1.483,5099.1,999.0,0,0.0,1.0,0.0,0.0,2,4,0.0,4,4,1,1
37,31.0,2,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,0.0,1.0,1.0,0.0,2,7,0.0,5,8,1,1
38,31.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,1.0,0.0,1.0,2,8,0.0,5,5,1,1
39,31.0,3,6,1,-1.7,94.215,-40.3,0.835,4991.6,0.2,0,1.0,1.0,0.0,0.0,1,5,0.0,6,7,1,3
40,31.0,3,999,0,1.4,94.465,-41.8,4.962,5228.1,999.0,0,0.0,1.0,0.0,1.0,3,6,0.0,5,6,1,1
41,31.0,1,999,0,-1.1,94.601,-49.5,1.043,4963.6,999.0,0,1.0,0.0,0.0,0.0,1,7,0.0,11,10,1,1
42,35.0,1,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,1.0,0.0,1.0,3,7,0.0,6,6,1,1
43,31.0,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,1.0,1.0,0.0,0.0,2,8,0.0,4,4,1,1
44,29.0,5,999,0,1.4,93.918,-42.7,4.957,5228.1,999.0,0,0.0,0.0,0.0,0.0,2,7,0.0,6,7,1,1
45,43.0,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,999.0,0,0.0,0.0,0.0,0.0,1,4,0.0,2,11,1,1
46,48.0,5,999,0,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0,0.0,1.0,0.0,2,8,0.0,5,7,1,1
47,42.0,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,0.0,0.0,0.0,0.0,2,5,0.0,6,11,2,1
48,41.0,2,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,0.0,1.0,1.0,1.0,1,5,0.0,6,5,1,1
49,30.0,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,999.0,0,0.0,0.0,1.0,0.0,2,7,0.0,6,5,1,1
50,36.0,1,999,0,1.4,94.465,-41.8,4.958,5228.1,999.0,0,0.0,1.0,0.0,1.0,2,8,0.0,4,6,1,1
51,24.0,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,999.0,3,0.0,0.0,0.0,0.0,3,8,0.0,5,4,1,2
52,46.0,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,999.0,0,0.0,1.0,1.0,0.0,1,8,0.0,4,11,1,1
