,custAge,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,housing_new,loan_new,contact_new,marital_new,schooling_new,default_new,profession_new,month_new,day_of_week_new,poutcome_new
0,38.0,5,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,1.0,0.0,1.0,2,5,0.0,1,7,1,1
1,40.0,10,999,0,-1.8,93.075,-47.1,1.365,5099.1,999.0,0,0.0,0.0,0.0,2,8,0.0,1,4,1,1
2,31.0,2,999,0,1.4,93.444,-36.1,4.962,5228.1,999.0,0,1.0,0.0,0.0,1,7,0.0,10,8,1,1
3,41.0,7,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,1.0,0.0,1.0,2,8,0.0,4,5,1,1
4,32.0,9,999,0,1.4,93.918,-42.7,4.96,5228.1,999.0,0,1.0,0.0,0.0,2,8,0.0,4,7,2,1
5,40.0,3,999,0,1.4,93.444,-36.1,4.964,5228.1,999.0,0,1.0,0.0,0.0,2,8,0.0,3,8,1,1
6,37.0,2,999,1,-1.8,92.893,-46.2,1.327,5099.1,999.0,0,0.0,1.0,0.0,2,8,0.0,9,5,1,2
7,44.0,1,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,1.0,0.0,1.0,3,7,0.0,7,5,1,1
8,44.0,1,999,1,-2.9,92.201,-31.4,0.879,5076.2,999.0,4,0.0,0.0,0.0,2,7,0.0,6,8,1,2
9,25.0,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,999.0,0,0.0,0.0,0.0,2,7,0.0,11,6,1,1
10,56.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,8,0.0,7,5,2,1
11,39.0,2,999,0,1.4,94.465,-41.8,4.947,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,9,6,1,1
12,31.0,1,999,0,1.4,93.444,-36.1,4.963,5228.1,999.0,0,1.0,0.0,1.0,2,5,0.0,5,8,1,1
13,31.0,2,999,0,1.4,94.465,-41.8,4.947,5228.1,999.0,0,1.0,0.0,1.0,2,4,0.0,4,6,2,1
14,54.0,1,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,1.0,0.0,2,7,0.0,3,7,1,1
15,49.0,1,999,0,1.1,93.994,-36.4,4.859,5191.0,999.0,0,1.0,0.0,1.0,2,8,0.0,9,5,1,1
16,32.0,1,999,0,-1.7,94.215,-40.3,0.835,4991.6,999.0,0,1.0,1.0,1.0,2,8,0.0,9,7,1,1
17,57.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,2,0.0,4,5,2,1
18,45.0,1,999,0,1.1,93.994,-36.4,4.86,5191.0,999.0,0,0.0,1.0,1.0,2,8,0.0,12,5,1,1
19,31.0,2,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,1.0,1.0,2,8,0.0,1,6,1,1
20,35.0,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,999.0,0,1.0,0.0,0.0,1,5,0.0,6,4,1,1
21,50.0,2,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,1.0,0.0,1.0,2,7,0.0,3,5,1,1
22,22.0,2,999,0,-2.9,92.201,-31.4,0.873,5076.2,999.0,0,1.0,0.0,0.0,1,5,0.0,11,8,1,1
23,29.0,8,999,1,-1.8,92.893,-46.2,1.25,5099.1,999.0,1,1.0,1.0,0.0,1,5,0.0,6,5,1,2
24,31.0,1,999,0,1.4,93.444,-36.1,4.97,5228.1,999.0,0,0.0,0.0,0.0,2,5,0.0,4,8,2,1
25,31.0,2,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,1.0,0.0,2,5,0.0,9,7,1,1
26,35.0,3,999,0,1.1,93.994,-36.4,4.864,5191.0,999.0,0,0.0,0.0,1.0,1,8,0.0,5,5,1,1
27,31.0,3,999,0,1.1,93.994,-36.4,4.857,5191.0,999.0,0,0.0,0.0,1.0,2,8,0.0,6,5,1,1
28,30.0,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,999.0,0,1.0,0.0,0.0,1,8,0.0,3,5,1,1
29,31.0,2,999,0,-1.8,92.893,-46.2,1.244,5099.1,999.0,0,1.0,0.0,0.0,1,8,0.0,9,5,2,1
30,44.0,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,0.0,0.0,0.0,2,8,0.0,4,4,2,1
31,31.0,6,999,0,1.4,93.918,-42.7,4.957,5228.1,999.0,0,1.0,0.0,0.0,1,8,0.0,5,7,1,1
32,31.0,2,999,0,-2.9,92.469,-33.6,1.048,5076.2,999.0,0,0.0,1.0,0.0,1,8,0.0,6,7,2,1
33,39.0,4,999,0,1.4,94.465,-41.8,4.961,5228.1,999.0,0,0.0,0.0,1.0,2,8,0.0,4,6,1,1
34,46.0,2,999,1,-3.4,92.379,-29.8,0.809,5017.5,999.0,4,1.0,1.0,0.0,2,6,0.0,5,9,1,2
35,31.0,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,999.0,0,0.0,1.0,0.0,2,2,0.0,4,5,1,2
36,41.0,1,999,0,1.1,93.994,-36.4,4.856,5191.0,999.0,0,1.0,1.0,1.0,1,3,0.0,6,5,1,1
37,29.0,2,999,1,-3.4,92.649,-30.1,0.719,5017.5,999.0,2,1.0,1.0,0.0,1,6,0.0,5,11,1,2
38,35.0,2,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,0.0,0.0,0.0,2,8,0.0,6,7,1,1
39,36.0,3,3,3,-3.4,92.649,-30.1,0.715,5017.5,0.1,9,0.0,1.0,0.0,2,7,0.0,3,11,1,3
40,50.0,7,999,0,1.4,93.918,-42.7,4.963,5228.1,999.0,0,0.0,0.0,0.0,1,8,0.0,9,7,1,1
41,42.0,3,999,1,-1.8,93.075,-47.1,1.405,5099.1,999.0,2,0.0,0.0,0.0,1,5,0.0,9,4,1,2
42,31.0,1,999,0,1.4,93.918,-42.7,4.961,5228.1,999.0,0,1.0,0.0,0.0,1,8,0.0,4,7,1,1
